epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.082,2.35196,6.49448,2.84578,0,0,0,0,nan,nan,nan,0.00325758,0.00325758,0.0706818
2,71.3114,2.62981,3.38946,3.19317,0,0,0,0,nan,nan,nan,0.00593841,0.00593841,0.0400293
3,87.7842,2.54152,3.22648,3.1864,0,0,0,0,nan,nan,nan,0.00795924,0.00795924,0.00871682
4,104.507,2.56791,3.16164,3.24037,0,0,0,0,nan,nan,nan,0.00703,0.00703,0.00703
5,120.835,2.38176,3.08042,3.23156,0.00027,0.00498,0.00014,1e-05,nan,nan,nan,0.00604,0.00604,0.00604
6,137.557,2.40613,3.02193,3.20377,0.01934,0.06965,0.00728,0.00204,nan,nan,nan,0.00505,0.00505,0.00505
7,154.051,2.31066,2.9113,3.12681,0.0841,0.199,0.06198,0.01758,2.28213,3.76892,3.06759,0.00406,0.00406,0.00406
8,170.718,2.31636,2.73112,3.10558,0.10365,0.22388,0.08012,0.02386,2.33508,3.42306,3.05593,0.00307,0.00307,0.00307
9,187.805,2.25678,2.6619,3.04505,0.18675,0.24905,0.13453,0.03879,2.2796,2.946,2.98121,0.00208,0.00208,0.00208
10,204.445,2.28102,2.60608,3.04677,0.22801,0.21891,0.16802,0.05444,2.17826,2.43683,2.93059,0.00109,0.00109,0.00109
