epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,891.601,1.23633,1.54261,1.59403,0.67102,0.67991,0.71026,0.45905,1.21283,1.26327,1.66277,0.005644,0.005644,0.005644
46,911.517,1.21019,1.51721,1.57262,0.62718,0.62189,0.66137,0.42976,1.20041,1.2659,1.60271,0.005545,0.005545,0.005545
47,930.049,1.25088,1.57453,1.60571,0.64708,0.63184,0.67102,0.4385,1.18044,1.47669,1.5935,0.005446,0.005446,0.005446
48,947.791,1.20705,1.51983,1.57123,0.64607,0.63682,0.67905,0.44517,1.20023,1.30453,1.64372,0.005347,0.005347,0.005347
49,965.958,1.20224,1.49165,1.55845,0.61325,0.75733,0.71685,0.46845,1.1743,1.20219,1.61504,0.005248,0.005248,0.005248
50,984.979,1.17592,1.4303,1.52998,0.67545,0.62189,0.68938,0.45091,1.18025,1.24078,1.59997,0.005149,0.005149,0.005149
51,1003.76,1.21029,1.48708,1.57733,0.65709,0.69154,0.66659,0.40994,nan,nan,nan,0.00505,0.00505,0.00505
52,1022.17,1.21464,1.48475,1.57363,0.60469,0.61194,0.59726,0.35184,nan,nan,nan,0.004951,0.004951,0.004951
53,1040.35,1.17943,1.45312,1.55587,0.66054,0.67164,0.68776,0.45791,1.12803,1.21911,1.57078,0.004852,0.004852,0.004852
54,1058.46,1.16292,1.4615,1.52804,0.65247,0.71924,0.73826,0.48232,1.16608,1.19256,1.56994,0.004753,0.004753,0.004753
55,1077.7,1.1656,1.4031,1.53271,0.67662,0.64539,0.66166,0.43672,1.20914,1.20321,1.61389,0.004654,0.004654,0.004654
56,1096.57,1.14937,1.38439,1.50568,0.68926,0.69154,0.74138,0.48504,1.19554,1.21868,1.63074,0.004555,0.004555,0.004555
57,1115.97,1.18197,1.4478,1.55533,0.68197,0.68657,0.72086,0.46446,1.15606,1.24294,1.60068,0.004456,0.004456,0.004456
58,1134.03,1.1463,1.4021,1.50044,0.6296,0.6427,0.68577,0.46725,1.14208,1.20561,1.57127,0.004357,0.004357,0.004357
59,1151.97,1.14365,1.4294,1.52157,0.65322,0.69154,0.66657,0.40982,1.20932,1.28867,1.63917,0.004258,0.004258,0.004258
60,1170.28,1.1551,1.40464,1.53147,0.66512,0.66206,0.69887,0.46961,1.20353,1.23366,1.58363,0.004159,0.004159,0.004159
61,1188.97,1.15266,1.40662,1.52589,0.68827,0.64677,0.73868,0.5105,1.14741,1.10725,1.57556,0.00406,0.00406,0.00406
62,1208.03,1.13357,1.42521,1.5004,0.66455,0.62189,0.66749,0.4376,1.18965,1.1761,1.61728,0.003961,0.003961,0.003961
63,1226.22,1.12334,1.38181,1.49556,0.74141,0.42289,0.45818,0.3168,1.47841,1.54381,3.03135,0.003862,0.003862,0.003862
64,1244.16,1.08083,1.37889,1.48127,0.74105,0.68159,0.71315,0.46132,1.18849,1.15493,1.59967,0.003763,0.003763,0.003763
65,1262.56,1.13972,1.37602,1.51275,0.70458,0.71144,0.74398,0.50897,1.1341,1.1132,1.56071,0.003664,0.003664,0.003664
66,1283.52,1.07454,1.31102,1.4461,0.72556,0.71144,0.74942,0.50624,1.10372,1.08904,1.52878,0.003565,0.003565,0.003565
67,1301.7,1.10107,1.2973,1.47145,0.69043,0.70647,0.73966,0.47936,1.16242,1.13805,1.58577,0.003466,0.003466,0.003466
68,1319.71,1.08569,1.30417,1.46054,0.71032,0.74129,0.78769,0.5232,1.12844,1.00685,1.5671,0.003367,0.003367,0.003367
69,1339.95,1.13229,1.34803,1.50369,0.66913,0.69423,0.7369,0.50532,1.14617,1.11749,1.5557,0.003268,0.003268,0.003268
70,1358.26,1.0807,1.29999,1.43996,0.70211,0.7153,0.7609,0.52846,1.09307,1.02371,1.49836,0.003169,0.003169,0.003169
71,1377.93,1.04876,1.27979,1.44755,0.7728,0.69652,0.77271,0.4968,1.24064,1.102,1.62256,0.00307,0.00307,0.00307
72,1396.23,1.11002,1.27809,1.4778,0.73992,0.73134,0.78519,0.53115,1.10782,1.02145,1.53821,0.002971,0.002971,0.002971
73,1416.72,1.07411,1.27508,1.44239,0.69372,0.72637,0.7502,0.50541,1.1223,1.08877,1.53525,0.002872,0.002872,0.002872
74,1436.27,1.05289,1.27149,1.44424,0.68395,0.73632,0.75956,0.51145,1.11833,1.05909,1.52865,0.002773,0.002773,0.002773
75,1454.92,1.04997,1.26475,1.43539,0.80219,0.66583,0.80047,0.51761,1.13963,1.0024,1.57368,0.002674,0.002674,0.002674
76,1473.99,1.04081,1.26021,1.43915,0.73632,0.70647,0.7832,0.54843,1.0567,0.98302,1.48131,0.002575,0.002575,0.002575
77,1493.61,1.03181,1.26351,1.41998,0.72156,0.73134,0.78351,0.53901,1.10373,1.00151,1.51796,0.002476,0.002476,0.002476
78,1512.71,1.0488,1.25071,1.44689,0.685,0.74649,0.78624,0.54661,1.02676,1.02895,1.45674,0.002377,0.002377,0.002377
79,1531.14,0.98858,1.2194,1.38948,0.66845,0.78607,0.7778,0.53968,1.04547,1.01931,1.47456,0.002278,0.002278,0.002278
80,1549.6,1.01788,1.1886,1.39882,0.79822,0.68657,0.80491,0.55461,1.0601,0.95812,1.4901,0.002179,0.002179,0.002179
81,1568.79,1.01179,1.19477,1.40723,0.69837,0.78331,0.81375,0.56528,1.07939,0.96415,1.50522,0.00208,0.00208,0.00208
82,1589.16,1.02814,1.19898,1.41104,0.79105,0.66169,0.80439,0.56173,1.07441,0.93639,1.4972,0.001981,0.001981,0.001981
83,1607.59,1.01526,1.20399,1.4013,0.782,0.68657,0.80815,0.5516,1.09144,0.93402,1.50626,0.001882,0.001882,0.001882
84,1625.84,1.0185,1.21856,1.41184,0.75581,0.71144,0.78661,0.55112,1.06107,0.92405,1.44959,0.001783,0.001783,0.001783
85,1644.34,1.02315,1.20578,1.41319,0.74173,0.72139,0.79096,0.55417,1.07861,0.94992,1.487,0.001684,0.001684,0.001684
