epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5687,1.95183,3.16744,2.25065,0,0,0,0,nan,nan,nan,0.00325758,0.00325758,0.0706818
2,38.5217,1.90379,2.53328,2.19286,0.00723,0.23383,0.00456,0.00108,nan,nan,nan,0.00652566,0.00652566,0.0406166
3,58.1335,1.78864,2.30091,2.09393,0.00082,0.24378,0.00051,0.00013,3.93385,inf,5.3487,0.00972774,0.00972774,0.0104853
4,76.671,1.70857,2.21076,2.03955,0.14824,0.06965,0.03545,0.01479,3.05078,5.38739,5.16098,0.009703,0.009703,0.009703
5,96.7744,1.63627,2.13792,2.00074,0.22451,0.42289,0.25035,0.11851,1.71029,14.6569,2.45407,0.009604,0.009604,0.009604
6,116.524,1.59497,2.07056,1.96282,0.23107,0.31841,0.25587,0.13283,1.60814,9.27257,2.16523,0.009505,0.009505,0.009505
7,136.202,1.60397,2.04183,1.9691,0.28397,0.25847,0.1965,0.09328,1.67428,5.42604,2.22344,0.009406,0.009406,0.009406
8,158.068,1.55064,2.03294,1.91042,0.50512,0.43781,0.45592,0.24735,1.56322,2.11958,2.03097,0.009307,0.009307,0.009307
9,177.226,1.49785,1.95309,1.85575,0.51944,0.51244,0.50502,0.25702,1.67933,3.85099,2.22394,0.009208,0.009208,0.009208
10,198.397,1.47282,1.90673,1.83095,0.6021,0.54726,0.52861,0.3057,1.46779,2.15843,1.88883,0.009109,0.009109,0.009109
11,218.517,1.40985,1.84101,1.77401,0.58527,0.61785,0.60811,0.37233,1.35949,1.75727,1.8348,0.00901,0.00901,0.00901
12,240.305,1.42112,1.8411,1.78366,0.63419,0.51741,0.58114,0.35297,1.32401,1.64033,1.79701,0.008911,0.008911,0.008911
13,260.647,1.41228,1.77216,1.78611,0.61575,0.54726,0.59362,0.35722,1.39355,1.78322,1.89951,0.008812,0.008812,0.008812
14,279.436,1.40838,1.78066,1.77372,0.59848,0.62189,0.59661,0.36626,1.4108,1.51709,1.88144,0.008713,0.008713,0.008713
15,299.92,1.40845,1.76578,1.79447,0.65257,0.51741,0.5629,0.3354,1.36119,1.79371,1.86397,0.008614,0.008614,0.008614
16,317.998,1.38108,1.72632,1.74906,0.64755,0.52239,0.53679,0.31403,1.50108,1.80304,1.97574,0.008515,0.008515,0.008515
17,336.103,1.36682,1.78756,1.75151,0.67663,0.52239,0.60791,0.37896,1.36176,1.66365,1.82828,0.008416,0.008416,0.008416
18,355.678,1.33949,1.71728,1.71598,0.60521,0.61194,0.62576,0.37051,1.40933,1.58269,1.87239,0.008317,0.008317,0.008317
19,374.637,1.3279,1.64691,1.6994,0.57003,0.48756,0.52498,0.27884,1.51471,1.77251,1.98118,0.008218,0.008218,0.008218
20,395.29,1.36472,1.7222,1.73511,0.55009,0.63682,0.57457,0.33483,1.41666,1.55574,1.91047,0.008119,0.008119,0.008119
21,413.402,1.30997,1.68688,1.70154,0.66424,0.53149,0.63865,0.38191,1.32114,1.97823,1.81648,0.00802,0.00802,0.00802
22,432.029,1.32988,1.66961,1.71001,0.63391,0.64612,0.65266,0.42305,1.25562,1.4128,1.72034,0.007921,0.007921,0.007921
23,450.864,1.28903,1.59767,1.66036,0.62278,0.66667,0.65885,0.39591,1.36467,1.66471,1.83224,0.007822,0.007822,0.007822
24,470.348,1.28938,1.63535,1.67228,0.71805,0.66667,0.74833,0.46672,1.25342,1.43643,1.73229,0.007723,0.007723,0.007723
25,491.175,1.27827,1.52094,1.63315,0.65057,0.66169,0.70158,0.4446,1.21403,1.30812,1.69016,0.007624,0.007624,0.007624
26,510.11,1.27562,1.54061,1.65769,0.63337,0.69652,0.70369,0.45757,1.17411,1.60485,1.63122,0.007525,0.007525,0.007525
27,528.247,1.24481,1.53051,1.61856,0.67207,0.69652,0.71818,0.45448,1.31392,1.32084,1.77534,0.007426,0.007426,0.007426
28,547.48,1.28201,1.56216,1.64045,0.67541,0.67164,0.72816,0.45302,1.28166,1.27647,1.71833,0.007327,0.007327,0.007327
29,564.363,1.21564,1.54713,1.59481,0.6965,0.66667,0.72375,0.47896,1.18072,1.23464,1.63266,0.007228,0.007228,0.007228
30,584.875,1.23427,1.49867,1.59948,0.64311,0.69652,0.71779,0.4547,1.27696,1.42225,1.72552,0.007129,0.007129,0.007129
31,602.595,1.19906,1.49562,1.57474,0.72746,0.68657,0.75525,0.48981,1.20616,1.19292,1.6691,0.00703,0.00703,0.00703
32,626.513,1.19689,1.44411,1.5652,0.65007,0.70647,0.72561,0.46903,1.23583,1.23197,1.69856,0.006931,0.006931,0.006931
33,648.897,1.21605,1.4598,1.6065,0.71087,0.68159,0.7372,0.47292,1.23207,1.20852,1.71256,0.006832,0.006832,0.006832
34,670.491,1.21173,1.47413,1.59923,0.67534,0.70647,0.74223,0.45742,1.20837,1.43241,1.71128,0.006733,0.006733,0.006733
35,689.119,1.18903,1.4663,1.5783,0.72033,0.72139,0.76624,0.48179,1.24712,1.29549,1.6997,0.006634,0.006634,0.006634
36,709.313,1.17804,1.47282,1.57787,0.71976,0.67724,0.76278,0.49885,1.19795,1.23023,1.63818,0.006535,0.006535,0.006535
37,731.737,1.16819,1.43682,1.5563,0.69277,0.72637,0.76044,0.49885,1.14991,1.17309,1.6474,0.006436,0.006436,0.006436
38,751.828,1.14515,1.39177,1.56482,0.71749,0.72023,0.76904,0.49571,1.19977,1.16238,1.67459,0.006337,0.006337,0.006337
