epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,773.871,1.16704,1.40502,1.54867,0.63839,0.74656,0.76034,0.50775,1.11517,1.15859,1.6009,0.006238,0.006238,0.006238
40,796.084,1.13495,1.42262,1.5347,0.65733,0.70621,0.74036,0.50377,1.17254,1.1686,1.64703,0.006139,0.006139,0.006139
41,816.484,1.14538,1.38636,1.54085,0.78715,0.71642,0.81722,0.55502,1.18536,1.14594,1.66516,0.00604,0.00604,0.00604
42,843.272,1.11979,1.36069,1.52522,0.67639,0.72139,0.73267,0.494,1.16283,1.11858,1.63747,0.005941,0.005941,0.005941
43,867.162,1.12054,1.35635,1.53326,0.75067,0.73396,0.81386,0.55512,1.10525,1.01474,1.5936,0.005842,0.005842,0.005842
44,893.356,1.10994,1.35801,1.52324,0.70373,0.72139,0.7845,0.53897,1.08042,1.06091,1.57442,0.005743,0.005743,0.005743
45,917.218,1.12339,1.35191,1.52035,0.77779,0.73134,0.77732,0.49758,1.26152,1.25354,1.73282,0.005644,0.005644,0.005644
46,936.278,1.12342,1.37902,1.51465,0.6377,0.77612,0.76807,0.51284,1.16706,1.11682,1.62798,0.005545,0.005545,0.005545
47,954.24,1.1053,1.35364,1.52897,0.78654,0.6783,0.79314,0.5099,1.22986,1.07245,1.73692,0.005446,0.005446,0.005446
48,976.531,1.09747,1.28886,1.50537,0.7996,0.70647,0.79609,0.52242,1.17903,1.05512,1.6189,0.005347,0.005347,0.005347
49,1001.15,1.11013,1.32108,1.51882,0.67239,0.75561,0.78274,0.52125,1.10168,1.08933,1.60561,0.005248,0.005248,0.005248
50,1020.6,1.03704,1.25013,1.4466,0.776,0.70666,0.80408,0.53853,1.16574,1.04915,1.64677,0.005149,0.005149,0.005149
51,1043.53,1.09442,1.2921,1.50444,0.74081,0.69154,0.76554,0.50543,1.15623,1.12652,1.68382,0.00505,0.00505,0.00505
52,1068.53,1.10151,1.27674,1.49813,0.6986,0.68657,0.75683,0.49342,1.22487,1.21812,1.72417,0.004951,0.004951,0.004951
53,1090.48,1.07511,1.26019,1.49279,0.72007,0.74627,0.80701,0.53738,1.1649,1.08333,1.63517,0.004852,0.004852,0.004852
54,1113.44,1.03415,1.24985,1.45553,0.76665,0.75188,0.82235,0.57241,1.07343,0.98366,1.53651,0.004753,0.004753,0.004753
55,1149.85,1.03796,1.19858,1.45355,0.79174,0.72637,0.82909,0.55757,1.09823,0.98438,1.58646,0.004654,0.004654,0.004654
56,1173.76,1.01188,1.17442,1.42943,0.8128,0.73443,0.84544,0.57835,1.09155,0.99241,1.55861,0.004555,0.004555,0.004555
57,1213.01,1.03924,1.23609,1.45752,0.79023,0.74129,0.82512,0.54358,1.17275,1.06231,1.65649,0.004456,0.004456,0.004456
58,1236.75,1.01245,1.17957,1.42389,0.75015,0.80597,0.82876,0.5673,1.10407,0.93948,1.56979,0.004357,0.004357,0.004357
59,1262.41,1.04656,1.19448,1.45757,0.73655,0.75622,0.81627,0.54263,1.12932,1.0819,1.60898,0.004258,0.004258,0.004258
60,1291.84,1.01767,1.20835,1.44793,0.75315,0.75896,0.83316,0.56695,1.12958,0.95173,1.57689,0.004159,0.004159,0.004159
61,1314.61,1.0379,1.19829,1.45678,0.79213,0.72044,0.81274,0.54937,1.14538,0.95952,1.6155,0.00406,0.00406,0.00406
62,1343.16,0.99503,1.19369,1.41056,0.79413,0.75124,0.85123,0.57973,1.08869,0.92573,1.55452,0.003961,0.003961,0.003961
63,1370.27,1.00201,1.15717,1.42456,0.82906,0.68657,0.83681,0.58229,1.06114,1.01549,1.53122,0.003862,0.003862,0.003862
64,1404.81,0.9665,1.18023,1.40373,0.76588,0.73632,0.8374,0.5814,1.06118,0.94834,1.52885,0.003763,0.003763,0.003763
65,1422.06,1.0081,1.16229,1.42737,0.76396,0.77294,0.82601,0.5532,1.10684,0.95894,1.56073,0.003664,0.003664,0.003664
66,1445.15,0.98083,1.08795,1.39831,0.8053,0.74627,0.83684,0.58216,1.06581,0.91792,1.54072,0.003565,0.003565,0.003565
67,1467.79,0.97775,1.08409,1.40261,0.81475,0.74627,0.86261,0.59914,1.05205,0.91606,1.49985,0.003466,0.003466,0.003466
68,1500.38,0.95308,1.09445,1.383,0.75776,0.80927,0.87839,0.59924,1.05561,0.92017,1.52691,0.003367,0.003367,0.003367
69,1536.17,0.97624,1.12796,1.40924,0.80515,0.78607,0.86405,0.59603,1.0154,0.86552,1.48194,0.003268,0.003268,0.003268
70,1558.65,0.93302,1.06028,1.35107,0.81034,0.72274,0.82698,0.57575,1.03411,0.91259,1.47869,0.003169,0.003169,0.003169
71,1581.52,0.92656,1.0915,1.36624,0.79321,0.79104,0.85568,0.5814,1.09286,0.92027,1.53323,0.00307,0.00307,0.00307
72,1608.29,0.96508,1.07745,1.38512,0.86025,0.75622,0.84936,0.58498,1.11867,0.85641,1.56722,0.002971,0.002971,0.002971
73,1637.24,0.94162,1.08524,1.36597,0.83733,0.76617,0.84488,0.5704,1.06597,0.9383,1.56115,0.002872,0.002872,0.002872
74,1661.37,0.93162,1.09627,1.37514,0.7946,0.7506,0.84165,0.58824,1.03838,0.91188,1.50517,0.002773,0.002773,0.002773
75,1685.49,0.90308,1.05637,1.35167,0.83729,0.81592,0.86434,0.60348,1.04921,0.83249,1.47933,0.002674,0.002674,0.002674
76,1721.02,0.89434,1.03415,1.34899,0.81722,0.78109,0.86096,0.60478,1.05842,0.83379,1.50253,0.002575,0.002575,0.002575
77,1757.89,0.87937,1.03016,1.32871,0.7898,0.80381,0.87517,0.60924,1.00004,0.85392,1.44656,0.002476,0.002476,0.002476
78,1789.77,0.89718,1.04847,1.35083,0.80212,0.81592,0.88223,0.61265,1.01755,0.81512,1.47186,0.002377,0.002377,0.002377
79,1825.52,0.8409,0.99194,1.30568,0.7705,0.83514,0.87268,0.60417,1.03597,0.8019,1.47851,0.002278,0.002278,0.002278
80,1849.28,0.88822,0.99525,1.32034,0.77407,0.79104,0.85288,0.59599,1.06268,0.87949,1.5239,0.002179,0.002179,0.002179
81,1876.83,0.85256,0.97017,1.30308,0.78337,0.76617,0.85397,0.60271,0.98525,0.83301,1.4525,0.00208,0.00208,0.00208
82,1906.87,0.87885,0.972,1.32447,0.86768,0.74129,0.87626,0.62552,1.01606,0.80305,1.47079,0.001981,0.001981,0.001981
83,1944.01,0.88578,1.01563,1.32686,0.83456,0.79602,0.8673,0.62335,0.97244,0.83163,1.42576,0.001882,0.001882,0.001882
84,1973.81,0.86284,1.0048,1.32686,0.83357,0.79104,0.85263,0.5948,1.02434,0.84202,1.49297,0.001783,0.001783,0.001783
85,1999.74,0.89016,0.98282,1.3385,0.80216,0.81095,0.85426,0.58392,1.0667,0.84407,1.5282,0.001684,0.001684,0.001684
86,2026.11,0.82681,0.95448,1.29289,0.83487,0.74627,0.85854,0.61098,0.99558,0.82325,1.43176,0.001585,0.001585,0.001585
87,2055.2,0.85772,0.95252,1.29347,0.76439,0.83933,0.86342,0.61179,0.99718,0.76648,1.45411,0.001486,0.001486,0.001486
88,2083.43,0.87426,0.93385,1.32909,0.82571,0.78109,0.88762,0.61389,1.03146,0.77766,1.46885,0.001387,0.001387,0.001387
89,2103.39,0.83501,0.93771,1.29032,0.73767,0.86567,0.87839,0.62642,0.99576,0.79715,1.45986,0.001288,0.001288,0.001288
90,2140.37,0.83693,0.93082,1.29726,0.81659,0.8607,0.88407,0.62252,1.0022,0.76615,1.47328,0.001189,0.001189,0.001189
91,2165.14,0.767,0.80967,1.24789,0.83274,0.76617,0.86543,0.60701,1.04709,0.78925,1.51581,0.00109,0.00109,0.00109
92,2182.73,0.739,0.74778,1.23276,0.77909,0.83085,0.86867,0.62198,0.98042,0.79502,1.43937,0.000991,0.000991,0.000991
93,2205.3,0.73973,0.70054,1.23452,0.83786,0.801,0.88099,0.613,1.00097,0.80556,1.44624,0.000892,0.000892,0.000892
94,2229.18,0.7249,0.67149,1.22809,0.85057,0.79292,0.88936,0.63192,1.00362,0.77613,1.46309,0.000793,0.000793,0.000793
95,2258.62,0.72305,0.69006,1.22072,0.81461,0.8209,0.88939,0.63655,1.00486,0.76286,1.46541,0.000694,0.000694,0.000694
96,2291.22,0.70029,0.65409,1.21176,0.79598,0.83085,0.88819,0.63555,0.99842,0.76957,1.46199,0.000595,0.000595,0.000595
97,2316.17,0.7048,0.65842,1.21077,0.81241,0.83085,0.87537,0.61984,1.00155,0.78556,1.466,0.000496,0.000496,0.000496
98,2350.91,0.68558,0.63613,1.18568,0.80201,0.82628,0.88228,0.63014,1.00483,0.76586,1.46975,0.000397,0.000397,0.000397
99,2382.71,0.69465,0.63012,1.196,0.80278,0.81006,0.88033,0.62804,0.99122,0.7552,1.46156,0.000298,0.000298,0.000298
100,2411.66,0.69507,0.63867,1.20348,0.77764,0.83518,0.88134,0.63216,0.98609,0.74604,1.4618,0.000199,0.000199,0.000199
